sex,years,waistcirc,hipcircum,waisthipratio,
0,0.25,39.40,37.30,1.04,
0,0.50,42.00,41.40,1.01,
0,0.75,43.40,43.40,1.00,
0,1.00,44.30,44.70,0.99,
0,2.00,46.90,48.50,0.97,
0,3.00,49.70,51.40,0.96,
0,4.00,51.20,54.20,0.95,
0,5.00,52.10,56.70,0.92,
0,6.00,53.30,59.00,0.91,
0,7.00,54.80,61.30,0.89,
0,8.00,56.50,64.20,0.88,
0,9.00,58.20,67.40,0.87,
0,10.00,59.90,70.40,0.86,
0,11.00,61.80,73.30,0.85,
0,12.00,63.90,76.30,0.84,
0,13.00,66.10,79.80,0.83,
0,14.00,68.20,83.70,0.83,
0,15.00,70.30,87.10,0.82,
0,16.00,72.30,89.60,0.82,
0,17.00,74.00,91.30,0.82,
0,18.00,75.60,92.30,0.82,
0,19.00,77.00,93.10,0.83,
0,20.00,78.30,93.60,0.83,
0,21.00,79.60,94.10,0.83,
1,0.25,38.40,36.80,1.03,
1,0.50,41.00,41.10,1.00,
1,0.75,42.30,43.10,0.98,
1,1.00,43.20,44.40,0.97,
1,2.00,46.40,48.40,0.96,
1,3.00,49.20,52.00,0.95,
1,4.00,50.60,54.80,0.92,
1,5.00,51.30,57.00,0.90,
1,6.00,52.50,59.60,0.88,
1,7.00,54.00,62.40,0.86,
1,8.00,55.70,65.50,0.85,
1,9.00,57.30,69.00,0.83,
1,10.00,59.00,72.10,0.82,
1,11.00,60.60,75.20,0.81,
1,12.00,62.40,79.00,0.79,
1,13.00,64.10,83.20,0.78,
1,14.00,65.60,86.60,0.77,
1,15.00,66.80,89.00,0.76,
1,16.00,67.90,90.60,0.76,
1,17.00,68.80,91.90,0.75,
1,18.00,69.50,93.00,0.75,
1,19.00,70.20,93.80,0.75,
1,20.00,70.80,93.90,0.75,
1,21.00,71.30,94.50,0.75,
