month,L,M,S,C3,C15,C50,C85,C97, 
60,-2.962692,52.31324,0.080035,46.19051,48.57354,52.31324,57.53811,63.85245,
61,-2.97212,52.47004,8.06E-02,46.29848,48.69778,52.47004,57.75755,64.18047,
62,-2.981387,52.62695,8.11E-02,46.40652,48.82207,52.62695,57.97753,64.51067,
63,-2.990492,52.78398,8.17E-02,46.51463,48.94641,52.78398,58.19803,64.84308,
64,-2.999436,52.94113,8.23E-02,46.62283,49.07083,52.94113,58.41907,65.17771,
65,-3.00822,53.09841,8.28E-02,46.73111,49.19533,53.09841,58.64064,65.51458,
66,-3.016844,53.25583,8.34E-02,46.8395,49.31992,53.25583,58.86275,65.8537,
67,-3.025309,53.4134,8.39E-02,46.94801,49.44463,53.4134,59.08539,66.19508,
68,-3.033613,53.57113,8.45E-02,47.05665,49.56944,53.57113,59.30858,66.53873,
69,-3.041757,53.72902,8.50E-02,47.16543,49.69439,53.72902,59.53229,66.88466,
70,-3.049741,53.88709,8.56E-02,47.27436,49.81947,53.88709,59.75655,67.23286,
71,-3.057562,54.04533,8.61E-02,47.38345,49.9447,54.04533,59.98134,67.58336,
72,-3.065221,54.20375,8.66E-02,47.4927,50.07008,54.20375,60.20666,67.93612,
73,-3.072717,54.36236,8.72E-02,47.60213,50.19561,54.36236,60.4325,68.29117,
74,-3.080048,54.52116,8.77E-02,47.71173,50.32131,54.52116,60.65886,68.64848,
75,-3.087213,54.68014,8.83E-02,47.82151,50.44718,54.68014,60.88572,69.00806,
76,-3.094211,54.83932,8.88E-02,47.93148,50.57323,54.83932,61.11308,69.36987,
77,-3.101042,54.99868,8.93E-02,48.04165,50.69944,54.99868,61.34093,69.73392,
78,-3.107705,55.15825,8.99E-02,48.152,50.82585,55.15825,61.56927,70.1002,
79,-3.1142,55.318,0.0903936,48.26256,50.95243,55.318,61.79807,70.46867,
80,-3.120525,55.47795,0.0909201,48.37331,51.0792,55.47795,62.02734,70.83932,
81,-3.126682,55.63809,9.14E-02,48.48428,51.20617,55.63809,62.25706,71.21214,
82,-3.132669,55.79844,9.20E-02,48.59545,51.33332,55.79844,62.48721,71.5871,
83,-3.138486,55.95897,9.25E-02,48.70683,51.46068,55.95897,62.7178,71.96418,
