month,L,M,S,C3,C15,C50,C85,C97
60,-2.515343,52.29203,9.01E-02,45.40947,48.0857,52.29203,58.16328,65.21168
61,-2.516955,52.45201,9.06E-02,45.51514,48.21021,52.45201,58.38656,65.53598
62,-2.518468,52.61214,9.12E-02,45.62082,48.33476,52.61214,58.61032,65.86182
63,-2.519881,52.77242,9.18E-02,45.72654,48.45937,52.77242,58.83459,66.18919
64,-2.521193,52.93286,9.23E-02,45.8323,48.58405,52.93286,59.05935,66.5181
65,-2.522404,53.09347,9.29E-02,45.93811,48.7088,53.09347,59.2846,66.84852
66,-2.523515,53.25426,9.35E-02,46.04398,48.83364,53.25426,59.51034,67.18045
67,-2.524524,53.41523,9.40E-02,46.14991,48.95858,53.41523,59.73658,67.51388
68,-2.525432,53.57638,9.46E-02,46.25594,49.08362,53.57638,59.96331,67.84878
69,-2.526238,53.73773,9.51E-02,46.36205,49.20878,53.73773,60.19053,68.18514
70,-2.526943,53.89929,9.57E-02,46.46827,49.33408,53.89929,60.41823,68.52293
71,-2.527546,54.06105,0.0962481,46.5746,49.4595,54.06105,60.6464,68.86214
72,-2.528045,54.22302,9.68E-02,46.68105,49.58507,54.22302,60.87505,69.20271
73,-2.528442,54.38521,0.0973532,46.78764,49.7108,54.38521,61.10415,69.54463
74,-2.528734,54.54762,9.79E-02,46.89437,49.83669,54.54762,61.33371,69.88786
75,-2.528924,54.71025,9.85E-02,47.00126,49.96274,54.71025,61.56372,70.23238
76,-2.529012,54.87312,9.90E-02,47.1083,50.08897,54.87312,61.79417,70.57814
77,-2.528996,55.03621,9.95E-02,47.2155,50.21539,55.03621,62.02503,70.9251
78,-2.528879,55.19953,0.1000815,47.32288,50.342,55.19953,62.25632,71.27325
79,-2.528661,55.36309,0.1006204,47.43044,50.4688,55.36309,62.48802,71.62253
80,-2.528342,55.52689,0.1011567,47.5382,50.5958,55.52689,62.72012,71.9729
81,-2.527923,55.69093,0.1016904,47.64614,50.72301,55.69093,62.95259,72.32432
82,-2.527404,55.85521,0.1022214,47.75428,50.85044,55.85521,63.18544,72.67674
83,-2.526785,56.01972,0.1027496,47.86264,50.97808,56.01972,63.41866,73.03013
84,-2.526068,56.18447,0.1032749,47.97119,51.10593,56.18447,63.65221,73.38441
85,-2.525252,56.34946,0.1037972,48.07996,51.234,56.34946,63.88609,73.73957
86,-2.524339,56.51467,0.1043164,48.18893,51.3623,56.51467,64.12028,74.09554
87,-2.523329,56.68011,0.1048324,48.29811,51.4908,56.68011,64.35477,74.45226
88,-2.522224,56.84578,0.1053452,48.40751,51.61953,56.84578,64.58954,74.80971
89,-2.521024,57.01166,0.1058548,48.51712,51.74847,57.01166,64.82457,75.16781
90,-2.51973,57.17775,0.1063609,48.62693,51.87762,57.17775,65.05984,75.52652
91,-2.518344,57.34406,0.1068637,48.73696,52.007,57.34406,65.29536,75.8858
92,-2.516867,57.51056,0.1073629,48.84719,52.13657,57.51056,65.53107,76.24557
93,-2.5153,57.67726,0.1078586,48.95763,52.26636,57.67726,65.76699,76.60581
94,-2.513644,57.84415,0.1083508,49.06827,52.39635,57.84415,66.00308,76.96645
95,-2.511899,58.01123,0.1088392,49.17911,52.52654,58.01123,66.23934,77.32743
96,-2.510067,58.17848,0.109324,49.29014,52.65693,58.17848,66.47573,77.68871
97,-2.508148,58.3459,0.1098051,49.40136,52.7875,58.3459,66.71224,78.05022
98,-2.506145,58.51347,0.1102824,49.51277,52.91826,58.51347,66.94886,78.41192
99,-2.504058,58.68121,0.110756,49.62436,53.0492,58.68121,67.18556,78.77376
100,-2.501889,58.84908,0.1112257,49.73613,53.18032,58.84908,67.42234,79.13568
101,-2.49964,59.0171,0.1116915,49.84808,53.3116,59.0171,67.65916,79.49764
102,-2.497311,59.18524,0.1121535,49.96019,53.44306,59.18524,67.89603,79.85957
103,-2.494904,59.35351,0.1126115,50.07246,53.57467,59.35351,68.1329,80.22141
104,-2.49242,59.52188,0.1130656,50.1849,53.70644,59.52188,68.36976,80.58312
105,-2.489861,59.69037,0.1135157,50.2975,53.83835,59.69037,68.60661,80.94466
106,-2.487228,59.85896,0.1139618,50.41024,53.97041,59.85896,68.84341,81.30595
107,-2.484522,60.02763,0.1144038,50.52313,54.10261,60.02763,69.08016,81.66695
108,-2.481744,60.19638,0.1148418,50.63616,54.23494,60.19638,69.31683,82.0276
109,-2.478897,60.3652,0.1152758,50.74932,54.3674,60.3652,69.55341,82.38786
110,-2.475982,60.53409,0.1157057,50.86261,54.49997,60.53409,69.78989,82.74769
111,-2.473001,60.70303,0.1161315,50.97602,54.63265,60.70303,70.02623,83.10703
112,-2.469956,60.87202,0.1165532,51.08955,54.76544,60.87202,70.26244,83.46585
113,-2.466849,61.04104,0.1169709,51.20319,54.89833,61.04104,70.49848,83.8241
114,-2.463681,61.21009,0.1173845,51.31693,55.0313,61.21009,70.73435,84.18173
115,-2.460454,61.37915,0.1177941,51.43076,55.16436,61.37915,70.97003,84.53871
116,-2.45717,61.54822,0.1181996,51.54467,55.29748,61.54822,71.20551,84.895
117,-2.45383,61.71729,0.1186011,51.65866,55.43067,61.71729,71.44076,85.25055
118,-2.450436,61.88633,0.1189986,51.77273,55.56391,61.88633,71.67577,85.60532
119,-2.446989,62.05536,0.1193921,51.88684,55.6972,62.05536,71.91053,85.95929
120,-2.443491,62.22434,0.1197817,52.00101,55.83052,62.22434,72.14503,86.31242
121,-2.439942,62.39328,0.1201673,52.11522,55.96386,62.39328,72.37923,86.66467
122,-2.436343,62.56215,0.1205491,52.22945,56.09721,62.56215,72.61314,87.016
123,-2.432694,62.73095,0.1209271,52.34369,56.23055,62.73095,72.84673,87.36639
124,-2.428998,62.89966,0.1213013,52.45793,56.36388,62.89966,73.07999,87.7158
125,-2.425253,63.06827,0.1216718,52.57216,56.49718,63.06827,73.31291,88.06419
126,-2.421461,63.23677,0.1220385,52.68636,56.63045,63.23677,73.54546,88.41154
127,-2.417624,63.40514,0.1224017,52.80053,56.76365,63.40514,73.77764,88.75781
128,-2.413742,63.57337,0.1227612,52.91464,56.8968,63.57337,74.00943,89.10298
129,-2.409817,63.74146,0.1231172,53.0287,57.02987,63.74146,74.2408,89.44701
130,-2.40585,63.90938,0.1234696,53.14269,57.16285,63.90938,74.47176,89.78989
131,-2.401843,64.07713,0.1238185,53.25659,57.29573,64.07713,74.70228,90.13158
132,-2.397796,64.24468,0.124164,53.3704,57.4285,64.24468,74.93235,90.47206
133,-2.39371,64.41204,0.1245061,53.4841,57.56115,64.41204,75.16195,90.8113
134,-2.389586,64.57919,0.1248449,53.59769,57.69366,64.57919,75.39108,91.14928
135,-2.385425,64.74611,0.1251803,53.71114,57.82602,64.74611,75.61971,91.48599
136,-2.381227,64.9128,0.1255126,53.82446,57.95822,64.9128,75.84785,91.8214
137,-2.376993,65.07922,0.1258416,53.9376,58.09024,65.07922,76.07545,92.15546
138,-2.372722,65.24539,0.1261676,54.05058,58.22208,65.24539,76.30253,92.48819
139,-2.368414,65.41129,0.1264905,54.16337,58.35371,65.41129,76.52906,92.81953
140,-2.364069,65.5769,0.1268103,54.27597,58.48514,65.5769,76.75504,93.1495
141,-2.359686,65.74222,0.1271273,54.38837,58.61635,65.74222,76.98047,93.47805
142,-2.355266,65.90723,0.1274413,54.50053,58.74731,65.90723,77.20531,93.80516
143,-2.350808,66.07191,0.1277526,54.61246,58.87803,66.07191,77.42956,94.13081
144,-2.346311,66.23628,0.1280611,54.72416,59.0085,66.23628,77.65322,94.455
145,-2.341775,66.40031,0.1283668,54.83559,59.13868,66.40031,77.87627,94.77769
146,-2.3372,66.564,0.12867,54.94675,59.2686,66.564,78.09871,95.09888
147,-2.332584,66.72733,0.1289705,55.05764,59.39823,66.72733,78.32053,95.41854
148,-2.327926,66.89029,0.1292686,55.16822,59.52755,66.89029,78.5417,95.73663
149,-2.323226,67.05288,0.1295642,55.27851,59.65656,67.05288,78.76223,96.05316
150,-2.318482,67.2151,0.1298574,55.38848,59.78526,67.2151,78.98213,96.36812
151,-2.313693,67.37692,0.1301483,55.49813,59.91362,67.37692,79.20136,96.68147
152,-2.308858,67.53835,0.1304369,55.60743,60.04165,67.53835,79.41994,96.9932
153,-2.303977,67.69939,0.1307234,55.71639,60.16932,67.69939,79.63785,97.30331
154,-2.299048,67.86001,0.1310077,55.82499,60.29664,67.86001,79.85509,97.61177
155,-2.29407,68.02021,0.13129,55.93322,60.42359,68.02021,80.07164,97.91856
156,-2.289042,68.18,0.1315702,56.04107,60.55017,68.18,80.28751,98.22369
157,-2.283963,68.33936,0.1318485,56.14854,60.67637,68.33936,80.5027,98.52714
158,-2.278833,68.4983,0.1321249,56.25561,60.80218,68.4983,80.7172,98.8289
159,-2.27365,68.65679,0.1323995,56.36227,60.92759,68.65679,80.931,99.12894
160,-2.268413,68.81485,0.1326723,56.46853,61.0526,68.81485,81.14411,99.4273
161,-2.263122,68.97247,0.1329435,56.57436,61.17721,68.97247,81.35653,99.72394
162,-2.257776,69.12963,0.133213,56.67976,61.3014,69.12963,81.56824,100.0189
163,-2.252374,69.28635,0.1334809,56.78471,61.42516,69.28635,81.77926,100.3121
164,-2.246915,69.4426,0.1337474,56.88923,61.54849,69.4426,81.98957,100.6035
165,-2.241399,69.59841,0.1340125,56.99329,61.67139,69.59841,82.1992,100.8933
166,-2.235824,69.75376,0.1342761,57.09689,61.79386,69.75376,82.40812,101.1814
167,-2.230191,69.90865,0.1345385,57.20001,61.91587,69.90865,82.61635,101.4677
168,-2.224498,70.06307,0.1347997,57.30267,62.03745,70.06307,82.82388,101.7523
169,-2.218744,70.21703,0.1350596,57.40484,62.15856,70.21703,83.03072,102.0352
170,-2.212929,70.37054,0.1353185,57.50653,62.27923,70.37054,83.23688,102.3164
171,-2.207053,70.52357,0.1355762,57.60773,62.39943,70.52357,83.44234,102.5959
172,-2.201114,70.67613,0.135833,57.70842,62.51917,70.67613,83.6471,102.8736
173,-2.195113,70.82823,0.1360888,57.80862,62.63844,70.82823,83.85119,103.1496
174,-2.189049,70.97987,0.1363436,57.90831,62.75724,70.97987,84.0546,103.424
175,-2.182923,71.13103,0.1365977,58.00749,62.87557,71.13103,84.25733,103.6966
176,-2.176734,71.28173,0.1368509,58.10615,62.99342,71.28173,84.45937,103.9676
177,-2.170483,71.43197,0.1371033,58.20429,63.1108,71.43197,84.66077,104.2369
178,-2.164168,71.58175,0.1373551,58.30192,63.22771,71.58175,84.8615,104.5045
179,-2.15779,71.73106,0.1376062,58.39902,63.34414,71.73106,85.06156,104.7705
180,-2.151346,71.87991,0.1378566,58.49559,63.46008,71.87991,85.26096,105.0348
181,-2.144837,72.02831,0.1381065,58.59164,63.57555,72.02831,85.45972,105.2975
182,-2.138262,72.17625,0.1383559,58.68715,63.69054,72.17625,85.65784,105.5585
183,-2.131619,72.32375,0.1386048,58.78212,63.80504,72.32375,85.85531,105.8178
184,-2.124908,72.47079,0.1388532,58.87656,63.91907,72.47079,86.05214,106.0755
185,-2.118129,72.61738,0.1391012,58.97045,64.03261,72.61738,86.24833,106.3315
186,-2.11128,72.76353,0.1393488,59.0638,64.14567,72.76353,86.44389,106.5859
187,-2.104362,72.90924,0.1395961,59.15661,64.25826,72.90924,86.63885,106.8387
188,-2.097375,73.05451,0.1398431,59.24887,64.37036,73.05451,86.83318,107.0898
189,-2.090318,73.19935,0.1400898,59.34058,64.48198,73.19935,87.02689,107.3393
190,-2.08319,73.34376,0.1403363,59.43176,64.59312,73.34376,87.22,107.5872
191,-2.075991,73.48775,0.1405826,59.52238,64.7038,73.48775,87.41253,107.8335
192,-2.06872,73.6313,0.1408287,59.61245,64.81399,73.6313,87.60444,108.0782
193,-2.061378,73.77445,0.1410746,59.70197,64.92371,73.77445,87.79578,108.3213
194,-2.053962,73.91718,0.1413204,59.79094,65.03296,73.91718,87.98651,108.5627
195,-2.046474,74.0595,0.1415661,59.87937,65.14175,74.0595,88.17667,108.8026
196,-2.03891,74.20142,0.1418117,59.96724,65.25005,74.20142,88.36626,109.0409
197,-2.031272,74.34294,0.1420573,60.05458,65.35791,74.34294,88.55528,109.2776
198,-2.023558,74.48406,0.1423028,60.14135,65.46529,74.48406,88.74374,109.5126
199,-2.015768,74.6248,0.1425482,60.22758,65.57223,74.6248,88.93163,109.7461
200,-2.007901,74.76515,0.1427936,60.31326,65.6787,74.76515,89.11897,109.978
201,-1.999958,74.90512,0.1430391,60.39839,65.78471,74.90512,89.30575,110.2082
202,-1.991938,75.04472,0.1432845,60.48298,65.89027,75.04472,89.49199,110.4369
203,-1.983842,75.18394,0.14353,60.56702,65.99539,75.18394,89.6777,110.6641
204,-1.97567,75.32281,0.1437755,60.65052,66.10007,75.32281,89.86287,110.8896
205,-1.967422,75.4613,0.144021,60.73347,66.20429,75.4613,90.04751,111.1136
206,-1.959098,75.59946,0.1442666,60.8159,66.30809,75.59946,90.23164,111.3361
207,-1.950699,75.73726,0.1445123,60.89779,66.41145,75.73726,90.41525,111.557
208,-1.942225,75.87472,0.144758,60.97914,66.51438,75.87472,90.59834,111.7764
209,-1.933675,76.01184,0.1450038,61.05996,66.61689,76.01184,90.78094,111.9943
210,-1.925051,76.14863,0.1452497,61.14025,66.71897,76.14863,90.96304,112.2107
211,-1.916353,76.2851,0.1454956,61.22002,66.82064,76.2851,91.14465,112.4256
212,-1.907581,76.42125,0.1457417,61.29927,66.92191,76.42125,91.32579,112.639
213,-1.898736,76.55709,0.1459879,61.378,67.02276,76.55709,91.50645,112.8509
214,-1.889817,76.69263,0.1462341,61.45622,67.12321,76.69263,91.68665,113.0614
215,-1.880828,76.82787,0.1464805,61.53392,67.22327,76.82787,91.86637,113.2705
216,-1.871767,76.96281,0.1467269,61.61112,67.32294,76.96281,92.04565,113.4781
217,-1.862635,77.09747,0.1469734,61.68783,67.42223,77.09747,92.22448,113.6843
218,-1.853434,77.23186,0.14722,61.76403,67.52114,77.23186,92.40287,113.8891
219,-1.844164,77.36597,0.1474667,61.83975,67.61968,77.36597,92.58083,114.0926
220,-1.834825,77.49983,0.1477136,61.91498,67.71786,77.49983,92.75838,114.2947
221,-1.825419,77.63342,0.1479605,61.98972,67.81567,77.63342,92.93551,114.4954
222,-1.815946,77.76677,0.1482074,62.06398,67.91312,77.76677,93.11223,114.6948
223,-1.806407,77.89987,0.1484545,62.13777,68.01022,77.89987,93.28855,114.893
224,-1.796804,78.03273,0.1487018,62.21108,68.10697,78.03273,93.46448,115.0899
225,-1.787137,78.16536,0.1489491,62.28392,68.20338,78.16536,93.64003,115.2855
226,-1.777408,78.29776,0.1491966,62.3563,68.29946,78.29776,93.8152,115.4798
