month,L,M,S,C3,C15,C50,C85,C97
60,-2.882102,0.4827994,7.79E-02,0.4272296,0.4489793,0.4827994,0.5293045,0.5841217
61,-2.884297,0.4820457,7.85E-02,0.4262646,0.4480773,0.4820457,0.5288698,0.5842682
62,-2.886503,0.4812973,7.90E-02,0.4253068,0.4471818,0.4812973,0.5284405,0.5844247
63,-2.888721,0.4805544,7.96E-02,0.4243564,0.4462928,0.4805544,0.5280167,0.5845914
64,-2.890954,0.4798172,8.01E-02,0.4234134,0.4454105,0.4798172,0.5275986,0.5847687
65,-2.8932,0.4790859,8.06E-02,0.4224781,0.444535,0.4790859,0.5271863,0.5849563
66,-2.895461,0.4783606,8.12E-02,0.4215506,0.4436666,0.4783606,0.5267797,0.5851547
67,-2.897736,0.4776414,8.17E-02,0.420631,0.4428053,0.4776414,0.5263792,0.5853637
68,-2.900024,0.4769284,8.22E-02,0.4197195,0.4419514,0.4769284,0.5259847,0.5855834
69,-2.902327,0.4762218,0.0827684,0.4188162,0.4411049,0.4762218,0.5255963,0.5858141
70,-2.904641,0.4755217,8.33E-02,0.4179213,0.4402659,0.4755217,0.5252141,0.5860556
71,-2.906966,0.4748282,0.0838254,0.4170347,0.4394346,0.4748282,0.5248383,0.586308
72,-2.909301,0.4741414,8.44E-02,0.4161568,0.4386111,0.4741414,0.5244688,0.5865714
73,-2.911643,0.4734614,8.49E-02,0.4152874,0.4377954,0.4734614,0.5241057,0.5868457
74,-2.913991,0.4727883,8.54E-02,0.4144267,0.4369877,0.4727883,0.5237491,0.587131
75,-2.916345,0.4721221,8.59E-02,0.4135749,0.4361881,0.4721221,0.5233988,0.5874272
76,-2.918702,0.471463,8.64E-02,0.4127319,0.4353966,0.471463,0.5230551,0.5877343
77,-2.921063,0.4708109,8.70E-02,0.4118979,0.4346134,0.4708109,0.522718,0.5880524
78,-2.923425,0.4701661,8.75E-02,0.4110728,0.4338384,0.4701661,0.5223875,0.5883813
79,-2.925788,0.4695285,8.80E-02,0.4102569,0.4330718,0.4695285,0.5220636,0.5887211
80,-2.928152,0.4688983,8.85E-02,0.40945,0.4323136,0.4688983,0.5217462,0.5890717
81,-2.930515,0.4682754,0.0889926,0.4086524,0.4315639,0.4682754,0.5214356,0.5894331
82,-2.932877,0.4676599,8.95E-02,0.407864,0.4308228,0.4676599,0.5211316,0.5898053
83,-2.935236,0.467052,9.00E-02,0.4070849,0.4300903,0.467052,0.5208343,0.5901883
84,-2.937591,0.4664516,9.05E-02,0.4063151,0.4293664,0.4664516,0.5205438,0.5905818
85,-2.939941,0.4658587,9.10E-02,0.4055547,0.4286513,0.4658587,0.52026,0.5909861
86,-2.942284,0.4652736,0.0914859,0.4048037,0.4279449,0.4652736,0.5199829,0.5914008
87,-2.944619,0.464696,9.20E-02,0.4040621,0.4272473,0.464696,0.5197124,0.5918259
88,-2.946946,0.4641263,0.0924635,0.40333,0.4265585,0.4641263,0.5194488,0.5922614
89,-2.949264,0.4635642,0.0929478,0.4026074,0.4258786,0.4635642,0.5191919,0.5927071
90,-2.951571,0.46301,0.093429,0.4018942,0.4252076,0.46301,0.5189416,0.5931629
91,-2.953866,0.4624635,9.39E-02,0.4011906,0.4245455,0.4624635,0.5186979,0.5936286
92,-2.956148,0.4619249,9.44E-02,0.4004966,0.4238924,0.4619249,0.518461,0.5941043
93,-2.958416,0.461394,9.49E-02,0.3998121,0.4232482,0.461394,0.5182307,0.5945896
94,-2.960668,0.4608711,9.53E-02,0.3991372,0.422613,0.4608711,0.5180069,0.5950844
95,-2.9629,0.460356,9.58E-02,0.3984718,0.4219867,0.460356,0.5177897,0.5955886
96,-2.965113,0.4598488,9.62E-02,0.3978159,0.4213694,0.4598488,0.517579,0.5961019
97,-2.967304,0.4593495,9.67E-02,0.3971696,0.4207611,0.4593495,0.5173749,0.5966242
98,-2.969472,0.458858,9.72E-02,0.3965327,0.4201618,0.458858,0.5171772,0.5971555
99,-2.971615,0.4583744,9.76E-02,0.3959053,0.4195714,0.4583744,0.5169858,0.5976953
100,-2.973733,0.4578987,9.81E-02,0.3952874,0.41899,0.4578987,0.5168009,0.5982437
101,-2.975825,0.4574309,9.85E-02,0.394679,0.4184176,0.4574309,0.5166224,0.5988003
102,-2.97789,0.456971,9.89E-02,0.3940801,0.4178542,0.456971,0.5164502,0.5993651
103,-2.979928,0.456519,9.94E-02,0.3934906,0.4172997,0.456519,0.5162842,0.5999377
104,-2.981937,0.4560749,9.98E-02,0.3929105,0.4167542,0.4560749,0.5161244,0.600518
105,-2.983917,0.4556386,0.1002354,0.3923399,0.4162176,0.4556386,0.5159708,0.6011058
106,-2.985868,0.4552103,0.1006594,0.3917787,0.41569,0.4552103,0.5158234,0.6017009
107,-2.987788,0.4547898,0.1010794,0.3912268,0.4151713,0.4547898,0.5156821,0.602303
108,-2.989674,0.4543772,0.1014954,0.3906843,0.4146615,0.4543772,0.5155468,0.6029119
109,-2.991524,0.4539724,0.1019073,0.3901511,0.4141605,0.4539724,0.5154175,0.6035272
110,-2.993335,0.4535755,0.1023151,0.3896271,0.4136685,0.4535755,0.5152941,0.6041486
111,-2.995106,0.4531863,0.1027189,0.3891123,0.4131852,0.4531863,0.5151765,0.6047759
112,-2.996832,0.4528049,0.1031185,0.3886067,0.4127107,0.4528049,0.5150647,0.6054088
113,-2.998512,0.4524312,0.1035139,0.3881102,0.4122449,0.4524312,0.5149586,0.6060467
114,-3.000142,0.4520653,0.1039051,0.3876227,0.4117879,0.4520653,0.5148582,0.6066896
115,-3.001721,0.451707,0.1042921,0.3871442,0.4113394,0.451707,0.5147632,0.6073369
116,-3.003247,0.4513563,0.1046748,0.3866746,0.4108996,0.4513563,0.5146738,0.6079882
117,-3.004716,0.4510133,0.1050533,0.386214,0.4104684,0.4510133,0.5145897,0.6086434
118,-3.006128,0.4506778,0.1054275,0.3857621,0.4100456,0.4506778,0.514511,0.6093017
119,-3.00748,0.4503499,0.1057973,0.385319,0.4096314,0.4503499,0.5144375,0.6099632
120,-3.008772,0.4500295,0.1061627,0.3848847,0.4092256,0.4500295,0.5143691,0.6106272
121,-3.010001,0.4497165,0.1065238,0.3844589,0.4088281,0.4497165,0.5143059,0.6112936
122,-3.011167,0.449411,0.1068806,0.3840418,0.4084391,0.449411,0.5142477,0.6119618
123,-3.012267,0.4491128,0.1072329,0.3836332,0.4080583,0.4491128,0.5141943,0.6126314
124,-3.0133,0.448822,0.1075808,0.3832331,0.4076857,0.448822,0.5141459,0.6133022
125,-3.014264,0.4485385,0.1079243,0.3828414,0.4073213,0.4485385,0.5141022,0.6139737
126,-3.015158,0.4482622,0.1082633,0.3824581,0.406965,0.4482622,0.5140631,0.6146455
127,-3.01598,0.4479932,0.1085979,0.382083,0.4066169,0.4479932,0.5140287,0.6153172
128,-3.016727,0.4477313,0.1089281,0.3817162,0.4062768,0.4477313,0.5139989,0.6159883
129,-3.017397,0.4474766,0.1092537,0.3813576,0.4059446,0.4474766,0.5139735,0.6166584
130,-3.017987,0.4472289,0.1095748,0.381007,0.4056204,0.4472289,0.5139524,0.6173268
131,-3.018496,0.4469884,0.1098915,0.3806645,0.4053041,0.4469884,0.5139356,0.6179932
132,-3.01892,0.4467548,0.1102036,0.3803299,0.4049956,0.4467548,0.513923,0.6186571
133,-3.019259,0.4465282,0.1105111,0.3800033,0.4046949,0.4465282,0.5139145,0.619318
134,-3.01951,0.4463085,0.1108141,0.3796845,0.4044019,0.4463085,0.5139099,0.6199754
135,-3.019672,0.4460957,0.1111125,0.3793735,0.4041166,0.4460957,0.5139093,0.6206289
136,-3.019743,0.4458898,0.1114064,0.3790703,0.4038389,0.4458898,0.5139127,0.621278
137,-3.019722,0.4456907,0.1116957,0.3787747,0.4035689,0.4456907,0.5139198,0.6219224
138,-3.019607,0.4454984,0.1119805,0.3784868,0.4033063,0.4454984,0.5139306,0.6225615
139,-3.019399,0.4453128,0.1122606,0.3782064,0.4030513,0.4453128,0.513945,0.6231949
140,-3.019095,0.4451339,0.1125363,0.3779336,0.4028036,0.4451339,0.5139631,0.6238224
141,-3.018695,0.4449616,0.1128073,0.3776682,0.4025634,0.4449616,0.5139848,0.6244435
142,-3.018198,0.444796,0.1130739,0.3774101,0.4023305,0.444796,0.5140099,0.6250578
143,-3.017604,0.444637,0.1133359,0.3771595,0.402105,0.444637,0.5140385,0.6256649
144,-3.016909,0.4444846,0.1135934,0.3769161,0.4018867,0.4444846,0.5140706,0.6262647
145,-3.016115,0.4443387,0.1138464,0.3766799,0.4016756,0.4443387,0.5141059,0.6268564
146,-3.015219,0.4441993,0.1140949,0.376451,0.4014717,0.4441993,0.5141445,0.62744
147,-3.014221,0.4440664,0.114339,0.3762291,0.4012749,0.4440664,0.5141864,0.6280149
148,-3.013121,0.4439399,0.1145785,0.3760143,0.4010851,0.4439399,0.5142316,0.628581
149,-3.011919,0.4438198,0.1148137,0.3758065,0.4009024,0.4438198,0.5142799,0.629138
150,-3.010615,0.4437061,0.1150444,0.3756057,0.4007267,0.4437061,0.5143313,0.6296855
151,-3.009207,0.4435987,0.1152707,0.3754117,0.400558,0.4435987,0.5143859,0.6302234
152,-3.007694,0.4434976,0.1154926,0.3752247,0.4003961,0.4434976,0.5144436,0.6307512
153,-3.006078,0.4434029,0.1157102,0.3750445,0.4002411,0.4434029,0.5145043,0.6312688
154,-3.004356,0.4433143,0.1159235,0.374871,0.400093,0.4433143,0.514568,0.6317759
155,-3.002528,0.4432321,0.1161324,0.3747043,0.3999516,0.4432321,0.5146347,0.6322722
156,-3.000594,0.443156,0.1163371,0.3745442,0.3998169,0.443156,0.5147043,0.6327577
157,-2.998556,0.4430861,0.1165375,0.3743908,0.399689,0.4430861,0.514777,0.6332321
158,-2.996411,0.4430224,0.1167337,0.3742439,0.3995678,0.4430224,0.5148526,0.6336952
159,-2.994162,0.4429647,0.1169257,0.3741035,0.3994531,0.4429647,0.514931,0.634147
160,-2.991809,0.4429132,0.1171136,0.3739696,0.399345,0.4429132,0.5150124,0.6345873
161,-2.989351,0.4428676,0.1172973,0.3738421,0.3992434,0.4428676,0.5150966,0.6350161
162,-2.98679,0.4428281,0.1174769,0.3737209,0.3991483,0.4428281,0.5151837,0.6354334
163,-2.984127,0.4427947,0.1176525,0.3736061,0.3990597,0.4427947,0.5152737,0.635839
164,-2.981363,0.4427671,0.1178241,0.3734976,0.3989775,0.4427671,0.5153666,0.636233
165,-2.978498,0.4427455,0.1179917,0.3733953,0.3989016,0.4427455,0.5154623,0.6366155
166,-2.975534,0.4427298,0.1181553,0.3732992,0.398832,0.4427298,0.5155609,0.6369862
167,-2.972472,0.4427199,0.1183151,0.3732093,0.3987687,0.4427199,0.5156623,0.6373453
168,-2.969314,0.4427159,0.1184709,0.3731254,0.3987117,0.4427159,0.5157664,0.6376929
169,-2.966061,0.4427177,0.1186229,0.3730476,0.3986608,0.4427177,0.5158735,0.6380289
170,-2.962715,0.4427253,0.1187711,0.3729759,0.3986162,0.4427253,0.5159833,0.6383536
171,-2.959279,0.4427386,0.1189154,0.3729101,0.3985776,0.4427386,0.5160961,0.6386671
172,-2.955754,0.4427575,0.1190561,0.3728503,0.3985451,0.4427575,0.5162116,0.6389695
173,-2.952144,0.4427822,0.119193,0.3727963,0.3985186,0.4427822,0.5163299,0.639261
174,-2.948449,0.4428125,0.1193263,0.3727482,0.3984981,0.4428125,0.5164511,0.6395418
175,-2.944673,0.4428484,0.119456,0.372706,0.3984836,0.4428484,0.5165752,0.6398121
176,-2.940815,0.4428898,0.1195821,0.3726694,0.3984749,0.4428898,0.5167021,0.640072
177,-2.93688,0.4429367,0.1197047,0.3726386,0.3984721,0.4429367,0.5168318,0.640322
178,-2.932868,0.442989,0.1198238,0.3726133,0.398475,0.442989,0.5169644,0.6405619
179,-2.92878,0.4430467,0.1199395,0.3725936,0.3984837,0.4430467,0.5170998,0.6407921
180,-2.924616,0.4431098,0.1200519,0.3725795,0.398498,0.4431098,0.517238,0.6410128
181,-2.920377,0.4431782,0.1201609,0.3725708,0.3985178,0.4431782,0.5173791,0.641224
182,-2.916062,0.4432519,0.1202667,0.3725674,0.3985432,0.4432519,0.5175229,0.6414258
183,-2.911673,0.4433307,0.1203694,0.3725693,0.398574,0.4433307,0.5176695,0.6416185
184,-2.907211,0.4434146,0.1204688,0.3725764,0.3986102,0.4434146,0.5178189,0.6418023
185,-2.902677,0.4435036,0.1205652,0.3725887,0.3986518,0.4435036,0.517971,0.6419774
186,-2.898071,0.4435977,0.1206585,0.372606,0.3986985,0.4435977,0.5181258,0.6421439
187,-2.893393,0.4436966,0.1207489,0.3726284,0.3987505,0.4436966,0.5182833,0.6423021
188,-2.888646,0.4438005,0.1208363,0.3726557,0.3988075,0.4438005,0.5184435,0.6424521
189,-2.883829,0.4439092,0.1209208,0.3726878,0.3988696,0.4439092,0.5186064,0.6425943
190,-2.878943,0.4440227,0.1210026,0.3727248,0.3989366,0.4440227,0.518772,0.6427287
191,-2.873989,0.4441409,0.1210815,0.3727664,0.3990085,0.4441409,0.5189402,0.6428556
192,-2.868966,0.4442637,0.1211578,0.3728127,0.3990853,0.4442637,0.519111,0.6429752
