month,L,M,S,C3,C15,C50,C85,C97
60,-2.162846,0.4860468,8.70E-02,0.4225205,0.4476195,0.4860468,0.5373166,0.5947949
61,-2.15977,0.4852742,8.76E-02,0.421499,0.4466798,0.4852742,0.5368531,0.5948069
62,-2.156697,0.4845085,8.81E-02,0.4204859,0.4457477,0.4845085,0.5363958,0.5948262
63,-2.153627,0.4837498,8.87E-02,0.4194811,0.4448235,0.4837498,0.5359451,0.5948528
64,-2.150562,0.4829984,0.0892885,0.4184851,0.4439074,0.4829984,0.5355009,0.594887
65,-2.147503,0.4822543,8.99E-02,0.4174979,0.4429995,0.4822543,0.5350634,0.5949286
66,-2.144453,0.4815178,9.04E-02,0.4165197,0.4421001,0.4815178,0.5346329,0.5949779
67,-2.141412,0.4807891,9.10E-02,0.4155507,0.4412093,0.4807891,0.5342094,0.595035
68,-2.138382,0.4800683,9.16E-02,0.4145912,0.4403273,0.4800683,0.533793,0.5950999
69,-2.135365,0.4793555,9.21E-02,0.4136412,0.4394542,0.4793555,0.533384,0.5951726
70,-2.13236,0.478651,9.27E-02,0.4127009,0.4385903,0.478651,0.5329823,0.5952533
71,-2.129367,0.4779549,9.33E-02,0.4117705,0.4377356,0.4779549,0.5325882,0.5953419
72,-2.126387,0.4772672,9.38E-02,0.4108501,0.4368904,0.4772672,0.5322017,0.5954384
73,-2.123419,0.4765882,9.44E-02,0.4099398,0.4360547,0.4765882,0.5318229,0.5955428
74,-2.120464,0.4759178,0.0949447,0.4090398,0.4352286,0.4759178,0.5314518,0.5956551
75,-2.117522,0.4752564,9.55E-02,0.4081501,0.4344124,0.4752564,0.5310886,0.5957755
76,-2.114593,0.4746039,9.61E-02,0.4072708,0.433606,0.4746039,0.5307333,0.5959038
77,-2.111677,0.4739604,9.66E-02,0.4064022,0.4328096,0.4739604,0.5303861,0.59604
78,-2.108777,0.4733261,9.71E-02,0.4055442,0.4320233,0.4733261,0.5300469,0.5961842
79,-2.105892,0.4727011,9.77E-02,0.404697,0.4312472,0.4727011,0.529716,0.5963364
80,-2.103023,0.4720854,0.0982345,0.4038606,0.4304814,0.4720854,0.5293932,0.5964966
81,-2.100171,0.4714792,0.0987735,0.4030351,0.4297259,0.4714792,0.5290787,0.5966647
82,-2.097336,0.4708825,9.93E-02,0.4022206,0.4289809,0.4708825,0.5287726,0.5968409
83,-2.094518,0.4702953,9.98E-02,0.4014172,0.4282465,0.4702953,0.5284748,0.597025
84,-2.09172,0.4697178,0.100373,0.4006249,0.4275226,0.4697178,0.5281855,0.597217
85,-2.08894,0.4691499,0.1009001,0.3998438,0.4268093,0.4691499,0.5279046,0.5974169
86,-2.086182,0.4685919,0.1014241,0.3990739,0.4261068,0.4685919,0.5276323,0.5976248
87,-2.083445,0.4680436,0.1019449,0.3983153,0.425415,0.4680436,0.5273685,0.5978406
88,-2.08073,0.4675052,0.1024624,0.3975679,0.4247339,0.4675052,0.5271133,0.5980643
89,-2.07804,0.4669766,0.1029767,0.3968319,0.4240637,0.4669766,0.5268667,0.5982959
90,-2.075374,0.466458,0.1034875,0.3961073,0.4234043,0.466458,0.5266287,0.5985354
91,-2.072735,0.4659493,0.103995,0.395394,0.4227559,0.4659493,0.5263994,0.5987827
92,-2.070123,0.4654506,0.1044989,0.3946922,0.4221183,0.4654506,0.5261788,0.5990379
93,-2.06754,0.4649619,0.1049994,0.3940018,0.4214916,0.4649619,0.5259669,0.599301
94,-2.064988,0.4644832,0.1054963,0.3933228,0.4208759,0.4644832,0.5257636,0.599572
95,-2.062467,0.4640146,0.1059896,0.3926553,0.4202711,0.4640146,0.5255691,0.5998508
96,-2.059979,0.463556,0.1064793,0.3919992,0.4196773,0.463556,0.5253834,0.6001375
97,-2.057525,0.4631075,0.1069653,0.3913546,0.4190945,0.4631075,0.5252064,0.600432
98,-2.055106,0.462669,0.1074475,0.3907214,0.4185227,0.462669,0.5250382,0.6007345
99,-2.052725,0.4622407,0.1079261,0.3900997,0.4179618,0.4622407,0.5248787,0.6010447
100,-2.050381,0.4618224,0.1084008,0.3894895,0.417412,0.4618224,0.5247281,0.6013629
101,-2.048078,0.4614142,0.1088717,0.3888907,0.4168731,0.4614142,0.5245863,0.6016889
102,-2.045815,0.4610162,0.1093388,0.3883034,0.4163452,0.4610162,0.5244532,0.6020227
103,-2.043594,0.4606282,0.109802,0.3877276,0.4158283,0.4606282,0.524329,0.6023644
104,-2.041418,0.4602503,0.1102612,0.3871632,0.4153223,0.4602503,0.5242135,0.6027139
105,-2.039285,0.4598826,0.1107165,0.3866102,0.4148274,0.4598826,0.5241069,0.6030713
