sex,years,months,L,S,P3,P10,P25,M,P75,P90,P97
0,0.3,3.6,-1.8,0,40.2,40.8,41.4,42.1,42.9,43.6,44.3
0,0.5,6,-1.6,0,41.7,42.3,43,43.7,44.5,45.3,46.1
0,0.7,8.4,-1.4,0,43,43.6,44.3,45.1,45.9,46.7,47.5
0,0.8,9.6,-1.2,0,43.9,44.6,45.3,46.1,46.9,47.7,48.5
0,1,12,-1,0,44.5,45.2,45.9,46.8,47.6,48.4,49.2
0,1.3,15.6,-0.7,0,45.3,46,46.7,47.6,48.5,49.3,50.1
0,1.5,18,-0.5,0,45.9,46.6,47.4,48.3,49.2,50,50.8
0,1.8,21.6,-0.3,0,46.4,47.2,47.9,48.8,49.7,50.6,51.4
0,2,24,-0.1,0,46.8,47.6,48.4,49.3,50.2,51,51.9
0,2.3,27.6,0.1,0,47.1,47.9,48.7,49.6,50.5,51.4,52.2
0,2.5,30,0.2,0,47.4,48.1,49,49.9,50.8,51.7,52.5
0,2.8,33.6,0.3,0,47.6,48.4,49.2,50.1,51,51.9,52.8
0,3,36,0.3,0,47.7,48.5,49.4,50.3,51.3,52.1,53
0,3.3,39.6,0.4,0,47.9,48.7,49.6,50.5,51.4,52.3,53.2
0,3.5,42,0.4,0,48.1,48.9,49.7,50.7,51.6,52.5,53.4
0,3.8,45.6,0.5,0,48.2,49,49.9,50.8,51.8,52.7,53.5
0,4,48,0.5,0,48.4,49.2,50,51,52,52.8,53.7
0,4.3,51.6,0.6,0,48.5,49.3,50.2,51.1,52.1,53,53.9
0,4.5,54,0.6,0,48.6,49.5,50.3,51.3,52.3,53.1,54
0,4.8,57.6,0.7,0,48.8,49.6,50.5,51.4,52.4,53.3,54.2
0,5,60,0.7,0,48.9,49.7,50.6,51.6,52.5,53.4,54.3
0,5.5,66,0.8,0,49.1,50,50.8,51.8,52.8,53.7,54.6
0,6,72,0.9,0,49.3,50.2,51.1,52.1,53,53.9,54.8
0,6.5,78,0.9,0,49.5,50.4,51.3,52.3,53.3,54.2,55.1
0,7,84,1,0,49.7,50.6,51.5,52.5,53.5,54.4,55.3
0,7.5,90,1.1,0,49.9,50.8,51.7,52.7,53.8,54.7,55.5
0,8,96,1.1,0,50.1,51,51.9,53,54,54.9,55.8
0,8.5,102,1.2,0,50.3,51.2,52.1,53.2,54.2,55.1,56
0,9,108,1.3,0,50.5,51.4,52.3,53.3,54.4,55.3,56.2
0,9.5,114,1.3,0,50.6,51.6,52.5,53.5,54.5,55.5,56.4
0,10,120,1.4,0,50.8,51.7,52.6,53.7,54.7,55.6,56.5
0,10.5,126,1.4,0,50.9,51.9,52.8,53.8,54.9,55.8,56.7
0,11,132,1.5,0,51.1,52,53,54,55,56,56.9
0,11.5,138,1.5,0,51.2,52.2,53.1,54.2,55.2,56.1,57
0,12,144,1.6,0,51.4,52.3,53.3,54.4,55.4,56.3,57.2
0,12.5,150,1.7,0,51.6,52.6,53.5,54.6,55.6,56.6,57.5
0,13,156,1.7,0,51.8,52.8,53.8,54.9,55.9,56.9,57.8
0,13.5,162,1.8,0,52.1,53.1,54.1,55.2,56.2,57.2,58.1
0,14,168,1.9,0,52.4,53.4,54.4,55.5,56.5,57.5,58.4
0,14.5,174,2,0,52.6,53.6,54.6,55.7,56.8,57.7,58.7
0,15,180,2.1,0,52.8,53.8,54.9,56,57,58,58.9
0,15.5,186,2.2,0,53,54.1,55.1,56.2,57.3,58.2,59.2
0,16,192,2.2,0,53.2,54.2,55.3,56.4,57.5,58.5,59.4
0,16.5,198,2.3,0,53.3,54.4,55.4,56.6,57.7,58.6,59.6
0,17,204,2.3,0,53.5,54.5,55.6,56.7,57.8,58.8,59.7
0,17.5,210,2.4,0,53.5,54.6,55.7,56.8,57.9,58.9,59.8
0,18,216,2.4,0,53.6,54.7,55.7,56.9,58,59,59.9
1,0.3,3.6,-10.4,0,38.7,39.3,40,40.7,41.5,42.3,43
1,0.5,6,-1,0,40.3,41,41.7,42.4,43.3,44,44.8
1,0.7,8.4,-0.9,0,41.6,42.3,43,43.8,44.6,45.4,46.2
